observation_date,M2REAL
1984-01-01,2094.2
1984-02-01,2103.5
1984-03-01,2113.9
1984-04-01,2121.7
1984-05-01,2129.6
1984-06-01,2136.1
1984-07-01,2135.9
1984-08-01,2136.4
1984-09-01,2143.6
1984-10-01,2149.3
1984-11-01,2166.6
1984-12-01,2186.2
1985-01-01,2206.6
1985-02-01,2214.6
1985-03-01,2215.5
1985-04-01,2220.0
1985-05-01,2229.0
1985-06-01,2244.3
1985-07-01,2255.8
1985-08-01,2265.1
1985-09-01,2272.3
1985-10-01,2274.7
1985-11-01,2273.2
1985-12-01,2275.9
1986-01-01,2276.7
1986-02-01,2290.7
1986-03-01,2321.8
1986-04-01,2353.1
1986-05-01,2371.4
1986-06-01,2381.2
1986-07-01,2398.7
1986-08-01,2414.7
1986-09-01,2425.3
1986-10-01,2438.7
1986-11-01,2446.8
1986-12-01,2462.1
1987-01-01,2463.1
1987-02-01,2457.5
1987-03-01,2454.3
1987-04-01,2455.8
1987-05-01,2453.9
1987-06-01,2444.6
1987-07-01,2442.0
1987-08-01,2439.4
1987-09-01,2440.7
1987-10-01,2447.7
1987-11-01,2442.7
1987-12-01,2445.0
1988-01-01,2454.7
1988-02-01,2470.2
1988-03-01,2481.3
1988-04-01,2483.5
1988-05-01,2490.2
1988-06-01,2490.2
1988-07-01,2487.1
1988-08-01,2480.7
1988-09-01,2474.4
1988-10-01,2473.1
1988-11-01,2477.3
1988-12-01,2475.7
1989-01-01,2468.4
1989-02-01,2460.7
1989-03-01,2454.7
1989-04-01,2441.9
1989-05-01,2434.6
1989-06-01,2439.9
1989-07-01,2451.7
1989-08-01,2469.4
1989-09-01,2478.0
1989-10-01,2483.3
1989-11-01,2488.7
1989-12-01,2496.0
1990-01-01,2483.8
1990-02-01,2483.8
1990-03-01,2480.6
1990-04-01,2483.8
1990-05-01,2479.2
1990-06-01,2474.0
1990-07-01,2470.9
1990-08-01,2463.5
1990-09-01,2456.3
1990-10-01,2443.3
1990-11-01,2440.2
1990-12-01,2438.0
1991-01-01,2440.8
1991-02-01,2451.4
1991-03-01,2464.3
1991-04-01,2466.6
1991-05-01,2465.3
1991-06-01,2464.6
1991-07-01,2464.1
1991-08-01,2456.1
1991-09-01,2448.8
1991-10-01,2449.1
1991-11-01,2442.3
1991-12-01,2440.1
1992-01-01,2444.8
1992-02-01,2453.1
1992-03-01,2447.1
1992-04-01,2438.8
1992-05-01,2432.8
1992-06-01,2422.1
1992-07-01,2415.6
1992-08-01,2413.9
1992-09-01,2416.9
1992-10-01,2416.2
1992-11-01,2411.3
1992-12-01,2406.7
1993-01-01,2394.3
1993-02-01,2386.1
1993-03-01,2380.8
1993-04-01,2372.3
1993-05-01,2383.4
1993-06-01,2385.6
1993-07-01,2382.0
1993-08-01,2379.6
1993-09-01,2380.8
1993-10-01,2374.1
1993-11-01,2376.8
1993-12-01,2374.9
1994-01-01,2375.2
1994-02-01,2369.3
1994-03-01,2365.8
1994-04-01,2365.0
1994-05-01,2366.6
1994-06-01,2352.6
1994-07-01,2350.5
1994-08-01,2339.4
1994-09-01,2335.0
1994-10-01,2332.2
1994-11-01,2327.9
1994-12-01,2322.7
1995-01-01,2320.5
1995-02-01,2312.7
1995-03-01,2308.9
1995-04-01,2305.1
1995-05-01,2317.0
1995-06-01,2328.7
1995-07-01,2337.7
1995-08-01,2347.3
1995-09-01,2352.8
1995-10-01,2354.0
1995-11-01,2355.2
1995-12-01,2358.3
1996-01-01,2358.0
1996-02-01,2362.5
1996-03-01,2371.0
1996-04-01,2368.8
1996-05-01,2371.9
1996-06-01,2375.6
1996-07-01,2380.3
1996-08-01,2381.7
1996-09-01,2380.1
1996-10-01,2384.8
1996-11-01,2391.4
1996-12-01,2400.1
1997-01-01,2405.6
1997-02-01,2408.5
1997-03-01,2416.3
1997-04-01,2424.6
1997-05-01,2432.3
1997-06-01,2438.2
1997-07-01,2446.3
1997-08-01,2461.1
1997-09-01,2464.7
1997-10-01,2472.0
1997-11-01,2482.9
1997-12-01,2492.5
1998-01-01,2503.8
1998-02-01,2524.0
1998-03-01,2539.7
1998-04-01,2552.5
1998-05-01,2561.1
1998-06-01,2570.1
1998-07-01,2575.9
1998-08-01,2587.9
1998-09-01,2610.2
1998-10-01,2628.4
1998-11-01,2648.8
1998-12-01,2661.6
1999-01-01,2673.3
1999-02-01,2687.2
1999-03-01,2689.7
1999-04-01,2689.2
1999-05-01,2702.5
1999-06-01,2715.7
1999-07-01,2720.7
1999-08-01,2724.5
1999-09-01,2722.8
1999-10-01,2732.1
1999-11-01,2738.6
1999-12-01,2748.4
2000-01-01,2757.0
2000-02-01,2753.5
2000-03-01,2755.4
2000-04-01,2789.8
2000-05-01,2777.9
2000-06-01,2772.1
2000-07-01,2774.3
2000-08-01,2790.7
2000-09-01,2796.8
2000-10-01,2801.2
2000-11-01,2802.9
2000-12-01,2822.2
2001-01-01,2835.0
2001-02-01,2850.6
2001-03-01,2881.8
2001-04-01,2913.3
2001-05-01,2897.5
2001-06-01,2915.1
2001-07-01,2936.9
2001-08-01,2955.9
2001-09-01,3006.8
2001-10-01,3008.9
2001-11-01,3035.2
2001-12-01,3066.8
2002-01-01,3073.1
2002-02-01,3084.4
2002-03-01,3082.4
2002-04-01,3068.7
2002-05-01,3079.8
2002-06-01,3092.0
2002-07-01,3108.9
2002-08-01,3123.7
2002-09-01,3131.8
2002-10-01,3149.6
2002-11-01,3172.5
2002-12-01,3179.0
2003-01-01,3183.0
2003-02-01,3185.3
2003-03-01,3191.1
2003-04-01,3223.5
2003-05-01,3261.5
2003-06-01,3278.1
2003-07-01,3292.9
2003-08-01,3310.1
2003-09-01,3284.5
2003-10-01,3282.9
2003-11-01,3284.1
2003-12-01,3274.3
2004-01-01,3264.7
2004-02-01,3279.0
2004-03-01,3291.2
2004-04-01,3307.8
2004-05-01,3334.6
2004-06-01,3323.4
2004-07-01,3326.9
2004-08-01,3339.2
2004-09-01,3346.8
2004-10-01,3343.7
2004-11-01,3341.8
2004-12-01,3351.3
2005-01-01,3356.4
2005-02-01,3346.6
2005-03-01,3339.4
2005-04-01,3336.0
2005-05-01,3346.6
2005-06-01,3361.7
2005-07-01,3357.4
2005-08-01,3353.5
2005-09-01,3325.0
2005-10-01,3337.0
2005-11-01,3362.3
2005-12-01,3376.0
2006-01-01,3376.9
2006-02-01,3387.5
2006-03-01,3389.7
2006-04-01,3391.6
2006-05-01,3384.8
2006-06-01,3395.3
2006-07-01,3397.5
2006-08-01,3398.0
2006-09-01,3428.2
2006-10-01,3467.9
2006-11-01,3483.8
2006-12-01,3486.0
2007-01-01,3499.0
2007-02-01,3493.3
2007-03-01,3491.8
2007-04-01,3516.5
2007-05-01,3508.8
2007-06-01,3516.7
2007-07-01,3525.3
2007-08-01,3560.9
2007-09-01,3554.6
2007-10-01,3550.9
2007-11-01,3535.3
2007-12-01,3539.4
2008-01-01,3543.1
2008-02-01,3575.2
2008-03-01,3593.4
2008-04-01,3604.9
2008-05-01,3589.6
2008-06-01,3561.0
2008-07-01,3557.4
2008-08-01,3569.3
2008-09-01,3596.7
2008-10-01,3675.2
2008-11-01,3765.8
2008-12-01,3881.2
2009-01-01,3911.1
2009-02-01,3911.2
2009-03-01,3946.6
2009-04-01,3944.9
2009-05-01,3966.4
2009-06-01,3938.4
2009-07-01,3941.5
2009-08-01,3928.1
2009-09-01,3919.9
2009-10-01,3920.3
2009-11-01,3920.7
2009-12-01,3916.4
2010-01-01,3898.0
2010-02-01,3924.5
2010-03-01,3921.5
2010-04-01,3935.0
2010-05-01,3962.0
2010-06-01,3972.4
2010-07-01,3970.3
2010-08-01,3986.7
2010-09-01,3994.4
2010-10-01,4003.2
2010-11-01,4002.5
2010-12-01,4001.7
2011-01-01,3998.9
2011-02-01,4014.8
2011-03-01,4020.2
2011-04-01,4029.7
2011-05-01,4049.0
2011-06-01,4082.0
2011-07-01,4143.1
2011-08-01,4212.6
2011-09-01,4212.4
2011-10-01,4224.0
2011-11-01,4238.9
2011-12-01,4258.9
2012-01-01,4279.4
2012-02-01,4292.9
2012-03-01,4303.2
2012-04-01,4319.4
2012-05-01,4347.3
2012-06-01,4381.5
2012-07-01,4403.3
2012-08-01,4408.6
2012-09-01,4422.4
2012-10-01,4439.1
2012-11-01,4476.4
2012-12-01,4529.9
2013-01-01,4531.0
2013-02-01,4514.7
2013-03-01,4551.6
2013-04-01,4573.0
2013-05-01,4585.8
2013-06-01,4599.5
2013-07-01,4607.3
2013-08-01,4621.2
2013-09-01,4645.3
2013-10-01,4696.0
2013-11-01,4691.1
2013-12-01,4706.4
2014-01-01,4724.7
2014-02-01,4747.4
2014-03-01,4752.9
2014-04-01,4763.1
2014-05-01,4781.2
2014-06-01,4798.2
2014-07-01,4815.8
2014-08-01,4826.7
2014-09-01,4843.8
2014-10-01,4875.8
2014-11-01,4902.2
2014-12-01,4952.8
2015-01-01,5021.5
2015-02-01,5058.5
2015-03-01,5044.1
2015-04-01,5053.2
2015-05-01,5048.2
2015-06-01,5051.2
2015-07-01,5061.6
2015-08-01,5080.4
2015-09-01,5117.6
2015-10-01,5134.2
2015-11-01,5166.4
2015-12-01,5201.9
2016-01-01,5262.1
2016-02-01,5299.5
2016-03-01,5304.4
2016-04-01,5317.2
2016-05-01,5332.6
2016-06-01,5343.0
2016-07-01,5368.3
2016-08-01,5393.4
2016-09-01,5404.3
2016-10-01,5422.0
2016-11-01,5445.9
2016-12-01,5450.9
2017-01-01,5459.5
2017-02-01,5478.1
2017-03-01,5505.9
2017-04-01,5522.0
2017-05-01,5547.6
2017-06-01,5552.9
2017-07-01,5574.4
2017-08-01,5577.2
2017-09-01,5568.5
2017-10-01,5588.2
2017-11-01,5586.5
2017-12-01,5598.6
2018-01-01,5578.6
2018-02-01,5578.1
2018-03-01,5599.8
2018-04-01,5592.4
2018-05-01,5602.0
2018-06-01,5621.0
2018-07-01,5630.2
2018-08-01,5639.9
2018-09-01,5642.4
2018-10-01,5634.0
2018-11-01,5645.6
2018-12-01,5689.9
2019-01-01,5719.7
2019-02-01,5716.4
2019-03-01,5712.6
2019-04-01,5702.3
2019-05-01,5739.2
2019-06-01,5787.7
2019-07-01,5806.5
2019-08-01,5832.9
2019-09-01,5861.6
2019-10-01,5898.0
2019-11-01,5923.9
2019-12-01,5934.2
2020-01-01,5949.3
2020-02-01,5965.9
2020-03-01,6197.2
