observation_date,RPI
1984-01-01,6603.030
1984-02-01,6639.713
1984-03-01,6679.057
1984-04-01,6721.247
1984-05-01,6735.713
1984-06-01,6785.832
1984-07-01,6800.935
1984-08-01,6845.315
1984-09-01,6897.723
1984-10-01,6877.638
1984-11-01,6913.808
1984-12-01,6960.651
1985-01-01,6953.088
1985-02-01,6958.565
1985-03-01,6988.108
1985-04-01,6975.177
1985-05-01,6990.380
1985-06-01,7015.149
1985-07-01,7025.338
1985-08-01,7025.068
1985-09-01,7057.327
1985-10-01,7091.229
1985-11-01,7102.139
1985-12-01,7145.546
1986-01-01,7140.925
1986-02-01,7176.182
1986-03-01,7243.924
1986-04-01,7267.821
1986-05-01,7275.711
1986-06-01,7277.787
1986-07-01,7312.343
1986-08-01,7327.756
1986-09-01,7334.440
1986-10-01,7336.284
1986-11-01,7347.933
1986-12-01,7373.793
1987-01-01,7361.633
1987-02-01,7383.378
1987-03-01,7400.008
1987-04-01,7394.617
1987-05-01,7439.064
1987-06-01,7432.017
1987-07-01,7457.261
1987-08-01,7496.646
1987-09-01,7503.262
1987-10-01,7552.866
1987-11-01,7589.740
1987-12-01,7675.619
1988-01-01,7669.267
1988-02-01,7703.832
1988-03-01,7724.295
1988-04-01,7744.299
1988-05-01,7751.910
1988-06-01,7779.471
1988-07-01,7814.330
1988-08-01,7834.980
1988-09-01,7850.303
1988-10-01,7894.044
1988-11-01,7896.300
1988-12-01,7936.204
1989-01-01,8007.589
1989-02-01,8030.962
1989-03-01,8072.817
1989-04-01,8041.025
1989-05-01,8006.298
1989-06-01,8028.717
1989-07-01,8055.260
1989-08-01,8072.841
1989-09-01,8095.196
1989-10-01,8134.089
1989-11-01,8142.330
1989-12-01,8149.087
1990-01-01,8170.022
1990-02-01,8195.397
1990-03-01,8203.337
1990-04-01,8255.647
1990-05-01,8246.750
1990-06-01,8260.440
1990-07-01,8288.531
1990-08-01,8236.691
1990-09-01,8233.907
1990-10-01,8167.115
1990-11-01,8168.212
1990-12-01,8210.825
1991-01-01,8157.383
1991-02-01,8164.096
1991-03-01,8176.580
1991-04-01,8208.244
1991-05-01,8209.444
1991-06-01,8252.295
1991-07-01,8233.054
1991-08-01,8248.575
1991-09-01,8273.586
1991-10-01,8284.054
1991-11-01,8296.928
1991-12-01,8365.723
1992-01-01,8405.155
1992-02-01,8444.994
1992-03-01,8457.388
1992-04-01,8487.783
1992-05-01,8531.932
1992-06-01,8566.719
1992-07-01,8559.118
1992-08-01,8591.676
1992-09-01,8558.368
1992-10-01,8515.933
1992-11-01,8534.330
1992-12-01,8845.712
1993-01-01,8602.353
1993-02-01,8642.143
1993-03-01,8619.726
1993-04-01,8684.645
1993-05-01,8682.682
1993-06-01,8671.950
1993-07-01,8699.937
1993-08-01,8718.737
1993-09-01,8699.123
1993-10-01,8662.656
1993-11-01,8684.880
1993-12-01,8986.914
1994-01-01,8808.902
1994-02-01,8817.405
1994-03-01,8840.918
1994-04-01,8923.036
1994-05-01,8941.155
1994-06-01,8929.074
1994-07-01,8944.497
1994-08-01,8957.460
1994-09-01,8996.696
1994-10-01,9076.950
1994-11-01,9074.779
1994-12-01,9117.741
1995-01-01,9159.706
1995-02-01,9180.168
1995-03-01,9203.415
1995-04-01,9214.181
1995-05-01,9221.249
1995-06-01,9255.248
1995-07-01,9286.334
1995-08-01,9299.788
